id,date,timestamp,music genre,activity,mood before,mood after,sleep,notes (optional)
405,2026-01-20,11:54:00,Pop,Shower,3,4,7.2,2016-2017 songs
406,2026-01-20,11:54:00,EDM,Shower,3,4,7.2,2016-2017 songs
407,2026-01-20,11:54:00,Rock,Shower,3,4,7.2,2016-2017 songs
408,2026-01-20,16:52:00,EDM,Commute,3,4,7.2,2016-2017 songs
409,2026-01-20,16:52:00,Pop,Commute,3,4,7.2,2016-2017 songs
410,2026-01-20,16:52:00,Rock,Commute,3,4,7.2,2016-2017 songs
411,2026-01-20,22:46:00,EDM,Commute,4,3,7.2,2016-2017 songs
412,2026-01-20,22:46:00,Pop,Commute,4,3,7.2,2016-2017 songs
413,2026-01-20,22:46:00,Rock,Commute,4,3,7.2,2016-2017 songs
414,2026-01-21,1:55:00,Indie Pop,Rest,2,3,7.2,
415,2026-01-21,1:55:00,Soft Pop,Rest,2,3,7.2,
416,2026-01-21,12:15:00,EDM,Clean,3,3,7.1,2016-2017 songs
417,2026-01-21,19:52:00,Rock,Work,2,4,7.1,
418,2026-01-21,19:52:00,EDM,Work,2,4,7.1,
419,2026-01-21,19:52:00,Hip-Hop,Work,2,4,7.1,
420,2026-01-21,22:40:00,EDM,Code,3,4,7.1,
421,2026-01-21,22:40:00,Rap,Code,3,4,7.1,
422,2026-01-21,22:40:00,Hip-Hop,Code,3,4,7.1,
423,2026-01-21,22:40:00,Rock,Code,3,4,7.1,
424,2026-01-22,0:23:00,EDM,Code,3,4,7.1,
425,2026-01-22,0:23:00,Rap,Code,3,4,7.1,
426,2026-01-22,0:23:00,Hip-Hop,Code,3,4,7.1,
427,2026-01-22,0:23:00,Rock,Code,3,4,7.1,
428,2026-01-22,10:35:00,Rock,Clean,3,4,7.5,
429,2026-01-22,17:25:00,Rock,Exercise,4,5,7.5,
430,2026-01-22,17:25:00,Rap,Exercise,4,5,7.5,
431,2026-01-22,17:25:00,Hip-Hop,Exercise,4,5,7.5,
432,2026-01-22,17:25:00,EDM,Exercise,4,5,7.5,
433,2026-01-22,19:30:00,Pop,Commute,3,3,7.5,
434,2026-01-22,21:46:00,OPM,Read,3,3,7.5,
435,2026-01-22,21:46:00,Pop,Read,3,3,7.5,
436,2026-01-22,10:25:00,Rock,Work,3,4,7.5,
437,2026-01-22,10:25:00,R&B,Work,3,4,7.5,
438,2026-01-23,16:35:00,Pop,Commute,5,5,7.5,
439,2026-01-23,20:20:00,Pop,Commute,4,5,7.5,
440,2026-01-24,14:45:00,Soft Pop,Rest,3,3,6.8,
441,2026-01-24,14:45:00,Indie Pop,Rest,3,3,6.8,
442,2026-01-25,10:45:00,EDM,Clean,2,4,7.8,
443,2026-01-25,14:35:00,Pop,Commute,3,3,7.8,
444,2026-01-25,20:25:00,Pop,Commute,3,2,7.8,
445,2026-01-25,22:55:00,EDM,Play,2,3,7.8,
446,2026-01-25,22:55:00,Rock,Play,2,3,7.8,
447,2026-01-25,22:55:00,R&B,Play,2,3,7.8,
448,2026-01-25,22:55:00,Hip-Hop,Play,2,3,7.8,
449,2026-01-26,0:34:00,Indie Pop,Rest,2,1,7.8,
450,2026-01-26,0:34:00,Soft Pop,Rest,2,1,7.8,
451,2026-01-26,14:03:00,Pop,Commute,3,3,5.5,
452,2026-01-26,16:27:00,Indie Pop,Rest,2,3,5.5,
453,2026-01-26,16:27:00,Soft Pop,Rest,2,3,5.5,
454,2026-01-26,21:57:00,EDM,Play,4,3,5.5,
455,2026-01-26,21:57:00,Rock,Play,4,3,5.5,
456,2026-01-26,21:57:00,Hip-Hop,Play,4,3,5.5,
